patient_aggregation,percentile,score_mode,threshold,auroc,accuracy,precision,recall,f1,fpr,tn,fp,fn,tp
mean,97,ensemble_mse_retina,1.4672681325541985,0.882802011513869,0.7416058394160584,0.9566395663956639,0.6867704280155642,0.7995469988674971,0.0935672514619883,155,16,161,353
mean,99,ensemble_mse_retina,2.2052319713795216,0.882802011513869,0.6875912408759124,0.9716981132075472,0.6011673151750972,0.7427884615384616,0.05263157894736842,162,9,205,309
mean,95,ensemble_mse_l1_retina,1.1867808632177892,0.8768630395703916,0.7591240875912408,0.9440203562340967,0.7217898832684825,0.8180815876515987,0.1286549707602339,149,22,143,371
mean,97,ensemble_mse_l1_retina,1.4034398078857881,0.8768630395703916,0.7343065693430657,0.9486486486486486,0.6828793774319066,0.7941176470588235,0.1111111111111111,152,19,163,351
mean,99,ensemble_mse_l1_retina,2.114577704533503,0.8768630395703916,0.6934306569343066,0.975,0.6070038910505836,0.7482014388489209,0.04678362573099415,163,8,202,312
mean,95,ensemble_all_base,1.1768400381572282,0.8836325573986846,0.7722627737226277,0.945273631840796,0.7392996108949417,0.8296943231441049,0.1286549707602339,149,22,134,380
mean,97,ensemble_all_base,1.4974638295546387,0.8836325573986846,0.745985401459854,0.9521276595744681,0.6964980544747081,0.8044943820224719,0.10526315789473684,153,18,156,358
mean,99,ensemble_all_base,2.342076192432061,0.8836325573986846,0.6905109489051094,0.9748427672955975,0.603112840466926,0.7451923076923077,0.04678362573099415,163,8,204,310
max,95,mse,0.007386762276291767,0.8699228616287802,0.48759124087591244,0.9880239520958084,0.321011673151751,0.4845814977973568,0.011695906432748537,169,2,349,165
max,97,mse,0.008767772819846805,0.8699228616287802,0.42773722627737226,1.0,0.23735408560311283,0.3836477987421384,0.0,171,0,392,122
max,99,mse,0.01415146144106984,0.8699228616287802,0.2846715328467153,1.0,0.04669260700389105,0.08921933085501858,0.0,171,0,490,24
max,95,l1,0.04878405444324008,0.8401824925478417,0.48759124087591244,0.9710982658959537,0.32684824902723736,0.4890829694323144,0.029239766081871343,166,5,346,168
max,97,l1,0.05296016603708262,0.8401824925478417,0.42627737226277373,0.9618320610687023,0.245136186770428,0.39069767441860465,0.029239766081871343,166,5,388,126
max,99,l1,0.07113838627934453,0.8401824925478417,0.27445255474452557,0.9047619047619048,0.03696498054474708,0.07102803738317758,0.011695906432748537,169,2,495,19
max,95,retina_band_mse,0.009202877525240145,0.8618563269392676,0.4569343065693431,0.9930555555555556,0.2782101167315175,0.43465045592705165,0.005847953216374269,170,1,371,143
max,97,retina_band_mse,0.011254628431051931,0.8618563269392676,0.3883211678832117,1.0,0.18482490272373542,0.31198686371100165,0.0,171,0,419,95
max,99,retina_band_mse,0.0164726148173212,0.8618563269392676,0.2832116788321168,1.0,0.04474708171206226,0.0856610800744879,0.0,171,0,491,23
max,95,retina_weighted_mse,0.008404519129544444,0.8693539945843858,0.47737226277372263,1.0,0.3035019455252918,0.46567164179104475,0.0,171,0,358,156
max,97,retina_weighted_mse,0.010162029173225093,0.8693539945843858,0.4058394160583942,1.0,0.20817120622568094,0.3446054750402576,0.0,171,0,407,107
max,99,retina_weighted_mse,0.015443082153797081,0.8693539945843858,0.28613138686131384,1.0,0.048638132295719845,0.09276437847866419,0.0,171,0,489,25
max,95,topk_mse_5,0.11065703928470605,0.8760780030491274,0.4218978102189781,0.9836065573770492,0.23346303501945526,0.37735849056603776,0.011695906432748537,169,2,394,120
max,97,topk_mse_5,0.13418660730123513,0.8760780030491274,0.3518248175182482,1.0,0.13618677042801555,0.23972602739726026,0.0,171,0,444,70
max,99,topk_mse_5,0.21945241391658757,0.8760780030491274,0.27445255474452557,1.0,0.033073929961089495,0.064030131826742,0.0,171,0,497,17
max,95,topk_mse_10,0.060384464263915985,0.8790247343390902,0.47153284671532847,0.9871794871794872,0.29961089494163423,0.4597014925373134,0.011695906432748537,169,2,360,154
max,97,topk_mse_10,0.07644457459449756,0.8790247343390902,0.3854014598540146,1.0,0.18093385214007782,0.30642504118616143,0.0,171,0,421,93
max,99,topk_mse_10,0.12326030552387222,0.8790247343390902,0.28175182481751826,1.0,0.042801556420233464,0.08208955223880597,0.0,171,0,492,22
max,95,ensemble_mse_l1,4.258590496386196,0.8602521218740756,0.5109489051094891,0.9786096256684492,0.3560311284046693,0.5221112696148359,0.023391812865497075,167,4,331,183
max,97,ensemble_mse_l1,5.62936291425591,0.8602521218740756,0.42627737226277373,0.984,0.23929961089494164,0.38497652582159625,0.011695906432748537,169,2,391,123
max,99,ensemble_mse_l1,8.924394184364774,0.8602521218740756,0.3051094890510949,1.0,0.07392996108949416,0.13768115942028986,0.0,171,0,476,38
max,95,ensemble_mse_retina,4.65291612984475,0.8718570095797211,0.491970802919708,1.0,0.3229571984435798,0.48823529411764705,0.0,171,0,348,166
