patient_aggregation,score_mode,class_name,patient_count,image_count,mean_score,std_score,detected_count,detection_rate
max,ensemble_l1_ssim_topk,CNV+DME+DRUSEN,2,9,5.923161864395038,2.4778413363959273,2,1.0
max,ensemble_l1_ssim_topk,CNV+DME+NORMAL,1,5,4.575159530353871,,1,1.0
max,ensemble_l1_ssim_topk,CNV+DRUSEN,9,35,5.604625617143633,1.9409783567045675,8,0.8888888888888888
max,ensemble_l1_ssim_topk,CNV+DRUSEN+NORMAL,1,4,6.600312843863808,,1,1.0
max,ensemble_l1_ssim_topk,CNV+NORMAL,10,33,4.930226299696049,2.5047038143388303,6,0.6
max,ensemble_l1_ssim_topk,DME,145,198,4.6364469644979405,3.422767626488455,69,0.47586206896551725
max,ensemble_l1_ssim_topk,DME+DRUSEN,8,27,5.498611410592626,4.015968776485169,5,0.625
max,ensemble_l1_ssim_topk,DME+NORMAL,6,26,5.280530982466378,3.934962513193575,4,0.6666666666666666
max,ensemble_l1_ssim_topk,DRUSEN,145,211,2.025780583084664,1.825360555937776,14,0.09655172413793103
max,ensemble_l1_ssim_topk,DRUSEN+NORMAL,4,15,1.533596588905707,0.8925386720906566,0,0.0
max,ensemble_l1_ssim_topk,NORMAL,149,206,0.8570869575280833,0.8794764957030649,3,0.020134228187919462
max,ensemble_mse_l1_retina,CNV,150,200,5.9570579766897875,2.9871175762421798,104,0.6933333333333334
max,ensemble_mse_l1_retina,CNV+DME,5,31,8.432708010839448,4.84570918368203,3,0.6
max,ensemble_mse_l1_retina,CNV+DME+DRUSEN,2,9,7.01376181867891,3.0735064440601447,2,1.0
max,ensemble_mse_l1_retina,CNV+DME+NORMAL,1,5,5.825299719599577,,1,1.0
max,ensemble_mse_l1_retina,CNV+DRUSEN,9,35,6.703963648477317,2.5800095897066124,8,0.8888888888888888
max,ensemble_mse_l1_retina,CNV+DRUSEN+NORMAL,1,4,7.343103869312517,,1,1.0
max,ensemble_mse_l1_retina,CNV+NORMAL,10,33,5.377067999160776,2.7425454106153104,6,0.6
max,ensemble_mse_l1_retina,DME,145,198,5.366840205948451,4.170214454726988,73,0.503448275862069
max,ensemble_mse_l1_retina,DME+DRUSEN,8,27,5.991015429662627,4.828034589376018,5,0.625
max,ensemble_mse_l1_retina,DME+NORMAL,6,26,5.789189994260618,4.270603355004974,4,0.6666666666666666
max,ensemble_mse_l1_retina,DRUSEN,145,211,2.0482085566408745,2.0626262357444296,14,0.09655172413793103
max,ensemble_mse_l1_retina,DRUSEN+NORMAL,4,15,1.3473715863956386,0.8650087374044934,0,0.0
max,ensemble_mse_l1_retina,NORMAL,149,206,0.7458012906228187,0.9594931512866955,2,0.013422818791946308
max,ensemble_all_base,CNV,150,200,6.1103709834621895,3.074323253582746,104,0.6933333333333334
max,ensemble_all_base,CNV+DME,5,31,9.103896408174702,5.457107743279179,3,0.6
max,ensemble_all_base,CNV+DME+DRUSEN,2,9,6.814445578079594,2.9583279567080054,2,1.0
max,ensemble_all_base,CNV+DME+NORMAL,1,5,5.325868111840207,,1,1.0
max,ensemble_all_base,CNV+DRUSEN,9,35,6.7092123506382615,2.528482959128418,7,0.7777777777777778
max,ensemble_all_base,CNV+DRUSEN+NORMAL,1,4,7.845798550326755,,1,1.0
max,ensemble_all_base,CNV+NORMAL,10,33,5.661922141300476,2.909859410292462,6,0.6
max,ensemble_all_base,DME,145,198,5.433038435341986,4.2571080303395155,71,0.4896551724137931
max,ensemble_all_base,DME+DRUSEN,8,27,6.323510716526896,5.154447520169347,5,0.625
max,ensemble_all_base,DME+NORMAL,6,26,6.1566014696854685,4.843108959028697,4,0.6666666666666666
max,ensemble_all_base,DRUSEN,145,211,2.1595245467478765,2.1964296386722046,12,0.08275862068965517
max,ensemble_all_base,DRUSEN+NORMAL,4,15,1.4214878772459758,0.8482829668759763,0,0.0
max,ensemble_all_base,NORMAL,149,206,0.7682163937687293,0.9410163299656592,2,0.013422818791946308
top2_mean,mse,CNV,150,200,0.002929316034230093,0.0010855778928225708,124,0.8266666666666667
top2_mean,mse,CNV+DME,5,31,0.0037505718995817007,0.0018199050695792637,3,0.6
top2_mean,mse,CNV+DME+DRUSEN,2,9,0.003168536932207644,0.0012758863556428647,2,1.0
top2_mean,mse,CNV+DME+NORMAL,1,5,0.0023188332561403513,,1,1.0
top2_mean,mse,CNV+DRUSEN,9,35,0.002533818051839868,0.0010009044790670082,5,0.5555555555555556
top2_mean,mse,CNV+DRUSEN+NORMAL,1,4,0.0026154714869335294,,1,1.0
top2_mean,mse,CNV+NORMAL,10,33,0.002147553482791409,0.0010278296213222643,5,0.5
top2_mean,mse,DME,145,198,0.0026189431817078127,0.001637790878623736,80,0.5517241379310345
top2_mean,mse,DME+DRUSEN,8,27,0.002641451959789265,0.0017901009520972788,5,0.625
top2_mean,mse,DME+NORMAL,6,26,0.0026086210176193467,0.0016247335705171235,4,0.6666666666666666
top2_mean,mse,DRUSEN,145,211,0.0013380219012795915,0.0007509279477162245,13,0.0896551724137931
top2_mean,mse,DRUSEN+NORMAL,4,15,0.0010643232526490465,0.0004062539290900207,0,0.0
top2_mean,mse,NORMAL,149,206,0.0008614133782106633,0.000321464543969588,3,0.020134228187919462
top2_mean,l1,CNV,150,200,0.03158213927100102,0.006127265935791261,74,0.49333333333333335
top2_mean,l1,CNV+DME,5,31,0.03439092840999365,0.006536444015937177,3,0.6
top2_mean,l1,CNV+DME+DRUSEN,2,9,0.0338307935744524,0.007256775887976904,1,0.5
top2_mean,l1,CNV+DME+NORMAL,1,5,0.03215423598885536,,1,1.0
top2_mean,l1,CNV+DRUSEN,9,35,0.029465806463526353,0.005190825956816988,2,0.2222222222222222
top2_mean,l1,CNV+DRUSEN+NORMAL,1,4,0.028692379593849182,,0,0.0
top2_mean,l1,CNV+NORMAL,10,33,0.026010333374142647,0.005135939264229964,2,0.2
top2_mean,l1,DME,145,198,0.029762233048677443,0.008120381632640877,59,0.4068965517241379
top2_mean,l1,DME+DRUSEN,8,27,0.029272879823110998,0.007876642052937474,3,0.375
top2_mean,l1,DME+NORMAL,6,26,0.028056893187264603,0.006175136175790673,2,0.3333333333333333
top2_mean,l1,DRUSEN,145,211,0.02232004755401406,0.004192140547378688,7,0.04827586206896552
top2_mean,l1,DRUSEN+NORMAL,4,15,0.021471459418535233,0.004969087434876978,0,0.0
top2_mean,l1,NORMAL,149,206,0.019776688610522338,0.0033767195085738742,2,0.013422818791946308
top2_mean,ssim_error,CNV,150,200,0.2882092626889547,0.06603876882821222,40,0.26666666666666666
top2_mean,ssim_error,CNV+DME,5,31,0.3006779193878174,0.045626384894016006,2,0.4
top2_mean,ssim_error,CNV+DME+DRUSEN,2,9,0.3411311209201813,0.05977514722221206,1,0.5
top2_mean,ssim_error,CNV+DME+NORMAL,1,5,0.327874094247818,,1,1.0
top2_mean,ssim_error,CNV+DRUSEN,9,35,0.2709143426683214,0.033253627014273715,1,0.1111111111111111
top2_mean,ssim_error,CNV+DRUSEN+NORMAL,1,4,0.25958338379859924,,0,0.0
top2_mean,ssim_error,CNV+NORMAL,10,33,0.23300717771053314,0.047288694416055786,0,0.0
top2_mean,ssim_error,DME,145,198,0.26498316218113077,0.07359970783040265,30,0.20689655172413793
top2_mean,ssim_error,DME+DRUSEN,8,27,0.2800360359251499,0.05752824948791711,3,0.375
top2_mean,ssim_error,DME+NORMAL,6,26,0.2465274135271708,0.04743180601202914,0,0.0
top2_mean,ssim_error,DRUSEN,145,211,0.21242154733888033,0.055529493947148845,5,0.034482758620689655
top2_mean,ssim_error,DRUSEN+NORMAL,4,15,0.21057026088237762,0.06694043670194058,0,0.0
top2_mean,ssim_error,NORMAL,149,206,0.1897789459900568,0.053642485103185394,4,0.026845637583892617
top2_mean,mse_ssim_score,CNV,150,200,0.0599774506315589,0.013799043343987497,44,0.29333333333333333
top2_mean,mse_ssim_score,CNV+DME,5,31,0.06258011013269424,0.00978052200213901,2,0.4
top2_mean,mse_ssim_score,CNV+DME+DRUSEN,2,9,0.07053234335035086,0.012864815794501225,1,0.5
top2_mean,mse_ssim_score,CNV+DME+NORMAL,1,5,0.06718993186950684,,1,1.0
top2_mean,mse_ssim_score,CNV+DRUSEN,9,35,0.05618723564677768,0.007241981214847871,1,0.1111111111111111
top2_mean,mse_ssim_score,CNV+DRUSEN+NORMAL,1,4,0.05385257676243782,,0,0.0
top2_mean,mse_ssim_score,CNV+NORMAL,10,33,0.04813511585816741,0.009983393385623358,0,0.0
top2_mean,mse_ssim_score,DME,145,198,0.05508903682488819,0.015716658852761325,32,0.2206896551724138
top2_mean,mse_ssim_score,DME+DRUSEN,8,27,0.05783183337189257,0.01222864453543319,3,0.375
top2_mean,mse_ssim_score,DME+NORMAL,6,26,0.05090178766598304,0.009933209972481354,0,0.0
top2_mean,mse_ssim_score,DRUSEN,145,211,0.04353539111927666,0.011384138537789447,5,0.034482758620689655
