run_id,patient_aggregation,score_mode,threshold,auroc,accuracy,precision,recall,f1,fpr,tn,fp,fn,tp
ae_mse_l128_e60,max,ensemble_mse_l1_retina,4.438071097444734,0.9009307592454496,0.5826771653543307,0.9955156950672646,0.4567901234567901,0.6262341325811002,0.0067114093959731,148,1,264,222
ae_mse_l128_e60,mean,ensemble_mse_l1,1.3938787675527466,0.8966360096114012,0.8283464566929134,0.9333333333333332,0.8353909465020576,0.8816503800217155,0.1946308724832214,120,29,80,406
ae_mse_l128_e60,top2_mean,ensemble_mse_l1,4.039158237333127,0.8954207749882619,0.5795275590551181,0.9910313901345292,0.4547325102880658,0.6234132581100141,0.0134228187919463,147,2,265,221
ae_mse_l128_e60,max,ensemble_mse_l1,4.577809938786911,0.8902836468086281,0.5622047244094488,0.9905660377358492,0.4320987654320987,0.6017191977077364,0.0134228187919463,147,2,276,210
ae_mse_l128_e60,mean,ensemble_mse_l1_ssim,1.3157361685205269,0.8822465269146851,0.8078740157480315,0.9232558139534884,0.8168724279835391,0.8668122270742358,0.2214765100671141,116,33,89,397
ae_mse_l128_e60,top2_mean,ensemble_mse_l1_ssim,3.606635787492944,0.8806998646670533,0.5464566929133858,0.99009900990099,0.411522633744856,0.5813953488372093,0.0134228187919463,147,2,286,200
ae_mse_l128_e60,max,ensemble_mse_l1_ssim,3.9531803161334462,0.8748170243323115,0.5417322834645669,0.9899497487437184,0.4053497942386831,0.5751824817518248,0.0134228187919463,147,2,289,197
ae_mse_l128_e60,mean,l1,0.0212059010957117,0.8589913552627945,0.7811023622047244,0.9140811455847256,0.7880658436213992,0.8464088397790055,0.2416107382550335,113,36,103,383
ae_mse_l128_e60,top2_mean,l1,0.0299097458831965,0.8586184991852405,0.4881889763779528,0.987878787878788,0.3353909465020576,0.500768049155146,0.0134228187919463,147,2,323,163
ae_mse_l128_e60,max,l1,0.0307834742590784,0.851175187118513,0.4929133858267716,0.9823529411764704,0.3436213991769547,0.5091463414634146,0.0201342281879194,146,3,319,167
ae_mse_l128_e60,top2_mean,mse_ssim_score,0.0659724777564406,0.7963239152650039,0.368503937007874,0.956989247311828,0.1831275720164609,0.307426597582038,0.0268456375838926,145,4,397,89
ae_mse_l128_e60,mean,mse_ssim_score,0.0415571906603872,0.795937249703096,0.7433070866141732,0.8987654320987655,0.7489711934156379,0.8170594837261503,0.2751677852348993,108,41,122,364
ae_mse_l128_e60,top2_mean,ssim_error,0.3213704645633697,0.7888806031982766,0.3622047244094488,0.9550561797752808,0.1748971193415638,0.2956521739130435,0.0268456375838926,145,4,401,85
