patient_aggregation,percentile,score_mode,threshold,auroc,accuracy,precision,recall,f1,fpr,tn,fp,fn,tp
max,95,ensemble_mse_l1_retina,4.390559959763216,0.8994698159146245,0.5854014598540146,0.9914529914529915,0.45136186770428016,0.6203208556149733,0.011695906432748537,169,2,282,232
max,97,ensemble_mse_l1_retina,5.910240346204317,0.8994698159146245,0.47737226277372263,1.0,0.3035019455252918,0.46567164179104475,0.0,171,0,358,156
max,99,ensemble_mse_l1_retina,9.45156256491645,0.8994698159146245,0.32262773722627736,1.0,0.09727626459143969,0.1773049645390071,0.0,171,0,464,50
max,95,ensemble_all_base,4.546918320702316,0.908935763533347,0.5868613138686132,0.9957081545064378,0.45136186770428016,0.6211512717536813,0.005847953216374269,170,1,282,232
max,97,ensemble_all_base,5.996413013615827,0.908935763533347,0.4802919708029197,1.0,0.30739299610894943,0.47023809523809523,0.0,171,0,356,158
max,99,ensemble_all_base,9.991847408515394,0.908935763533347,0.31532846715328466,1.0,0.08754863813229571,0.16100178890876565,0.0,171,0,469,45
top2_mean,95,mse,0.0018771046772599195,0.9145447925910757,0.6291970802919709,0.9887218045112782,0.5116731517509727,0.6743589743589744,0.017543859649122806,168,3,251,263
top2_mean,97,mse,0.002427841057069599,0.9145447925910757,0.5080291970802919,1.0,0.3443579766536965,0.5123010130246021,0.0,171,0,337,177
top2_mean,99,mse,0.0036237074574455613,0.9145447925910757,0.34890510948905107,1.0,0.13229571984435798,0.23367697594501718,0.0,171,0,446,68
top2_mean,95,l1,0.029520840663462878,0.8570437117436913,0.5036496350364964,0.9887640449438202,0.3424124513618677,0.5086705202312138,0.011695906432748537,169,2,338,176
top2_mean,97,l1,0.030955110825598226,0.8570437117436913,0.46131386861313867,0.9865771812080537,0.28599221789883267,0.4434389140271493,0.011695906432748537,169,2,367,147
top2_mean,99,l1,0.035741165727376935,0.8570437117436913,0.3518248175182482,1.0,0.13618677042801555,0.23972602739726026,0.0,171,0,444,70
top2_mean,95,ssim_error,0.32171729803085325,0.7816915830432112,0.3678832116788321,0.9550561797752809,0.16536964980544747,0.28192371475953565,0.023391812865497075,167,4,429,85
top2_mean,97,ssim_error,0.34782968223094934,0.7816915830432112,0.31532846715328466,0.9591836734693877,0.0914396887159533,0.1669626998223801,0.011695906432748537,169,2,467,47
top2_mean,99,ssim_error,0.3848139768838882,0.7816915830432112,0.27883211678832115,0.9166666666666666,0.042801556420233464,0.08178438661710037,0.011695906432748537,169,2,492,22
top2_mean,95,mse_ssim_score,0.06582513395696876,0.7900197965731449,0.37664233576642336,0.9578947368421052,0.17704280155642024,0.2988505747126437,0.023391812865497075,167,4,423,91
top2_mean,97,mse_ssim_score,0.07094207793474196,0.7900197965731449,0.327007299270073,0.9649122807017544,0.10700389105058365,0.19264448336252188,0.011695906432748537,169,2,459,55
top2_mean,99,mse_ssim_score,0.07968035958707331,0.7900197965731449,0.27883211678832115,0.9166666666666666,0.042801556420233464,0.08178438661710037,0.011695906432748537,169,2,492,22
top2_mean,95,retina_band_mse,0.002293292270042002,0.9132363983889684,0.6102189781021898,0.9920318725099602,0.48443579766536965,0.6509803921568628,0.011695906432748537,169,2,265,249
top2_mean,97,retina_band_mse,0.0026856805488932856,0.9132363983889684,0.5474452554744526,1.0,0.3968871595330739,0.5682451253481894,0.0,171,0,310,204
top2_mean,99,retina_band_mse,0.003927242301870136,0.9132363983889684,0.36642335766423356,1.0,0.1556420233463035,0.26936026936026936,0.0,171,0,434,80
top2_mean,95,retina_weighted_mse,0.0020862600067630397,0.9178555987894509,0.6321167883211679,0.9924812030075187,0.5136186770428015,0.676923076923077,0.011695906432748537,169,2,250,264
top2_mean,97,retina_weighted_mse,0.0026017327490262645,0.9178555987894509,0.5328467153284672,1.0,0.377431906614786,0.5480225988700564,0.0,171,0,320,194
top2_mean,99,retina_weighted_mse,0.0037230668542906614,0.9178555987894509,0.3678832116788321,1.0,0.1575875486381323,0.2722689075630252,0.0,171,0,433,81
top2_mean,95,topk_mse_5,0.022814131435006855,0.9476983639383803,0.6204379562043796,0.99609375,0.4961089494163424,0.6623376623376623,0.005847953216374269,170,1,259,255
top2_mean,97,topk_mse_5,0.028629285199567624,0.9476983639383803,0.5153284671532846,0.9945652173913043,0.3560311284046693,0.5243553008595988,0.005847953216374269,170,1,331,183
top2_mean,99,topk_mse_5,0.046952659524977194,0.9476983639383803,0.3167883211678832,1.0,0.08949416342412451,0.16428571428571428,0.0,171,0,468,46
top2_mean,95,topk_mse_10,0.013705302774906152,0.9393360183857828,0.6335766423357664,0.9962264150943396,0.5136186770428015,0.6777920410783055,0.005847953216374269,170,1,250,264
top2_mean,97,topk_mse_10,0.01737883519381283,0.9393360183857828,0.5328467153284672,1.0,0.377431906614786,0.5480225988700564,0.0,171,0,320,194
top2_mean,99,topk_mse_10,0.028134601190686212,0.9393360183857828,0.34014598540145985,1.0,0.12062256809338522,0.2152777777777778,0.0,171,0,452,62
top2_mean,95,ensemble_mse_l1,3.9662387543075512,0.8960224816255945,0.6116788321167883,0.9920634920634921,0.48638132295719844,0.6527415143603134,0.011695906432748537,169,2,264,250
